,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
2905,Haryana,YAMUNANAGAR,2013,38,162,11,60,18,171,0
2906,Haryana,Ambala (Rural),2014,25,58,9,17,0,52,0
2907,Haryana,Ambala (Urban),2014,31,86,8,23,1,111,0
2908,Haryana,Bhiwani,2014,44,83,12,99,1,119,0
2909,Haryana,Faridabad,2014,101,272,20,94,16,302,0
2910,Haryana,Fatehabad,2014,27,33,7,56,2,154,0
2911,Haryana,G. R. P.,2014,1,4,8,17,1,0,0
2912,Haryana,Gurgaon,2014,117,260,19,155,13,277,0
2913,Haryana,Hissar,2014,55,62,14,91,1,323,0
2914,Haryana,Jhajjar,2014,56,17,25,47,7,125,0
2915,Haryana,Jind,2014,23,67,12,67,0,120,0
2916,Haryana,Kaithal,2014,33,77,10,58,0,116,0
2917,Haryana,Karnal,2014,100,186,17,95,3,223,0
2918,Haryana,Kurukshetra,2014,35,57,6,59,7,100,0
2919,Haryana,Mahendergarh,2014,24,59,15,78,7,78,0
2920,Haryana,Mewat,2014,85,30,5,86,1,106,0
2921,Haryana,Palwal,2014,49,72,16,96,0,193,0
2922,Haryana,Panchkula,2014,36,90,5,30,3,73,0
2923,Haryana,Panipat,2014,64,92,18,97,0,227,0
2924,Haryana,Rewari,2014,41,83,11,65,35,105,0
2925,Haryana,Rohtak,2014,68,19,16,98,0,168,0
2926,Haryana,Sirsa,2014,49,65,5,86,2,174,0
2927,Haryana,Sonipat,2014,60,68,28,98,2,162,0
2928,Haryana,Yamunanagar,2014,50,82,7,76,0,170,0
2929,Haryana,Irrigation & Power,2014,0,0,0,0,0,0,0
2930,HIMACHAL PRADESH,BILASPUR,2001,5,9,1,35,1,47,0
2931,HIMACHAL PRADESH,CHAMBA,2001,12,15,0,23,1,21,0
2932,HIMACHAL PRADESH,G.R.P.,2001,0,0,0,0,0,0,0
2933,HIMACHAL PRADESH,HAMIRPUR,2001,3,3,1,17,2,33,0
2934,HIMACHAL PRADESH,KANGRA,2001,18,21,1,43,0,58,0
2935,HIMACHAL PRADESH,KINNAUR,2001,6,3,0,4,0,2,0
2936,HIMACHAL PRADESH,KULLU,2001,13,6,0,12,0,2,0
2937,HIMACHAL PRADESH,LAHAUL-SPITI,2001,2,1,0,0,0,1,0
2938,HIMACHAL PRADESH,MANDI,2001,16,10,0,59,4,56,0
2939,HIMACHAL PRADESH,SHIMLA,2001,18,11,2,50,1,31,0
2940,HIMACHAL PRADESH,SIRMAUR,2001,10,11,3,33,4,22,0
2941,HIMACHAL PRADESH,SOLAN,2001,12,10,2,23,1,24,0
2942,HIMACHAL PRADESH,UNA,2001,9,5,0,11,0,20,0
2943,HIMACHAL PRADESH,BILASPUR,2002,9,3,0,36,1,22,0
2944,HIMACHAL PRADESH,CHAMBA,2002,16,10,2,21,1,12,0
2945,HIMACHAL PRADESH,G.R.P.,2002,0,0,0,0,0,0,0
2946,HIMACHAL PRADESH,HAMIRPUR,2002,3,14,0,17,1,24,0
2947,HIMACHAL PRADESH,KANGRA,2002,14,17,2,50,1,32,0
2948,HIMACHAL PRADESH,KINNAUR,2002,4,3,0,6,1,7,0
2949,HIMACHAL PRADESH,KULLU,2002,14,11,0,20,0,11,0
2950,HIMACHAL PRADESH,LAHAUL-SPITI,2002,0,0,0,2,0,0,0
2951,HIMACHAL PRADESH,MANDI,2002,24,8,2,51,6,47,0
2952,HIMACHAL PRADESH,SHIMLA,2002,27,18,0,49,0,22,0
2953,HIMACHAL PRADESH,SIRMAUR,2002,11,10,0,34,0,15,0
2954,HIMACHAL PRADESH,SOLAN,2002,9,16,0,28,1,31,0
2955,HIMACHAL PRADESH,UNA,2002,6,6,0,12,0,11,0
2956,HIMACHAL PRADESH,BILASPUR,2003,13,11,0,20,2,17,0
2957,HIMACHAL PRADESH,CHAMBA,2003,10,14,0,13,0,8,0
2958,HIMACHAL PRADESH,G.R.P.,2003,0,0,0,0,0,0,0
2959,HIMACHAL PRADESH,HAMIRPUR,2003,6,7,0,13,1,15,0
2960,HIMACHAL PRADESH,KANGRA,2003,8,6,0,28,0,35,0
2961,HIMACHAL PRADESH,KINNAUR,2003,6,4,0,2,0,2,0
2962,HIMACHAL PRADESH,KULLU,2003,16,6,2,24,0,13,0
2963,HIMACHAL PRADESH,LAHAUL-SPITI,2003,2,0,0,0,0,1,0
2964,HIMACHAL PRADESH,MANDI,2003,23,5,1,52,2,43,0
2965,HIMACHAL PRADESH,SHIMLA,2003,21,16,2,40,8,15,0
2966,HIMACHAL PRADESH,SIRMAUR,2003,8,14,1,24,0,18,0
2967,HIMACHAL PRADESH,SOLAN,2003,11,7,0,24,3,24,0
2968,HIMACHAL PRADESH,UNA,2003,2,6,0,10,2,30,0
2969,HIMACHAL PRADESH,BILASPUR,2004,10,5,0,28,0,28,0
2970,HIMACHAL PRADESH,CHAMBA,2004,14,20,1,22,0,11,0
2971,HIMACHAL PRADESH,G.R.P.,2004,0,0,0,0,0,0,0
2972,HIMACHAL PRADESH,HAMIRPUR,2004,5,7,0,24,2,23,0
2973,HIMACHAL PRADESH,KANGRA,2004,15,10,2,34,1,57,0
2974,HIMACHAL PRADESH,KINNAUR,2004,8,3,0,4,0,4,0
2975,HIMACHAL PRADESH,KULLU,2004,13,11,1,11,1,10,0
2976,HIMACHAL PRADESH,LAHAUL-SPITI,2004,0,0,0,0,0,1,0
2977,HIMACHAL PRADESH,MANDI,2004,15,6,1,56,2,29,0
2978,HIMACHAL PRADESH,SHIMLA,2004,34,14,1,43,6,24,0
2979,HIMACHAL PRADESH,SIRMAUR,2004,9,10,1,23,4,15,0
2980,HIMACHAL PRADESH,SOLAN,2004,20,8,0,27,0,28,0
2981,HIMACHAL PRADESH,UNA,2004,10,5,1,12,0,22,0
2982,HIMACHAL PRADESH,BILASPUR,2005,8,6,0,30,0,27,0
2983,HIMACHAL PRADESH,CHAMBA,2005,12,8,1,20,0,10,0
2984,HIMACHAL PRADESH,G.R.P.,2005,0,0,0,0,0,0,0
2985,HIMACHAL PRADESH,HAMIRPUR,2005,4,4,0,11,4,21,0
2986,HIMACHAL PRADESH,KANGRA,2005,23,18,0,27,8,48,0
2987,HIMACHAL PRADESH,KINNAUR,2005,4,3,0,6,1,6,0
2988,HIMACHAL PRADESH,KULLU,2005,19,24,0,23,0,12,0
2989,HIMACHAL PRADESH,LAHAUL-SPITI,2005,0,1,0,0,0,1,0
2990,HIMACHAL PRADESH,MANDI,2005,8,8,0,70,4,20,0
2991,HIMACHAL PRADESH,SHIMLA,2005,32,10,0,51,7,29,0
2992,HIMACHAL PRADESH,SIRMAUR,2005,11,8,0,20,4,21,0
2993,HIMACHAL PRADESH,SOLAN,2005,15,8,1,22,1,19,0
2994,HIMACHAL PRADESH,UNA,2005,5,4,0,6,0,14,0
2995,HIMACHAL PRADESH,BILASPUR,2006,11,2,0,27,3,23,0
2996,HIMACHAL PRADESH,CHAMBA,2006,4,11,0,18,0,3,0
2997,HIMACHAL PRADESH,G.R.P.,2006,0,0,0,0,0,0,0
2998,HIMACHAL PRADESH,HAMIRPUR,2006,1,4,0,18,8,34,0
2999,HIMACHAL PRADESH,KANGRA,2006,12,22,0,34,9,57,0
3000,HIMACHAL PRADESH,KINNAUR,2006,2,4,0,2,1,3,0
3001,HIMACHAL PRADESH,KULLU,2006,10,9,0,24,0,16,0
3002,HIMACHAL PRADESH,LAHAUL-SPITI,2006,0,1,0,0,0,1,0
3003,HIMACHAL PRADESH,MANDI,2006,18,7,0,51,4,27,0
3004,HIMACHAL PRADESH,SHIMLA,2006,34,26,0,39,0,30,0
3005,HIMACHAL PRADESH,SIRMAUR,2006,3,4,1,23,3,26,0
3006,HIMACHAL PRADESH,SOLAN,2006,9,13,1,28,2,21,0
3007,HIMACHAL PRADESH,UNA,2006,9,6,1,11,1,18,0
3008,HIMACHAL PRADESH,BILASPUR,2007,6,9,0,33,1,28,0
3009,HIMACHAL PRADESH,CHAMBA,2007,15,11,0,20,1,6,0
3010,HIMACHAL PRADESH,G.R.P.,2007,0,0,0,0,0,0,0
3011,HIMACHAL PRADESH,HAMIRPUR,2007,5,15,1,29,13,35,0
3012,HIMACHAL PRADESH,KANGRA,2007,20,19,3,38,4,72,0
3013,HIMACHAL PRADESH,KINNAUR,2007,9,1,0,1,0,4,0
3014,HIMACHAL PRADESH,KULLU,2007,22,11,0,22,3,18,0
3015,HIMACHAL PRADESH,LAHAUL-SPITI,2007,1,1,0,1,0,0,0
3016,HIMACHAL PRADESH,MANDI,2007,30,23,0,70,6,60,0
3017,HIMACHAL PRADESH,SHIMLA,2007,27,26,1,46,0,44,0
3018,HIMACHAL PRADESH,SIRMAUR,2007,7,9,0,26,0,26,0
3019,HIMACHAL PRADESH,SOLAN,2007,8,16,3,26,0,30,0
3020,HIMACHAL PRADESH,UNA,2007,9,9,0,10,5,19,0
3021,HIMACHAL PRADESH,BILASPUR,2008,10,7,2,28,5,35,0
3022,HIMACHAL PRADESH,CHAMBA,2008,10,16,0,26,0,10,0
3023,HIMACHAL PRADESH,G.R.P.,2008,0,0,0,0,0,0,0
3024,HIMACHAL PRADESH,HAMIRPUR,2008,8,12,0,15,7,39,0
3025,HIMACHAL PRADESH,KANGRA,2008,19,15,0,37,13,68,0
3026,HIMACHAL PRADESH,KINNAUR,2008,4,2,0,3,0,3,0
3027,HIMACHAL PRADESH,KULLU,2008,16,17,0,31,2,28,0
3028,HIMACHAL PRADESH,LAHAUL-SPITI,2008,1,0,0,0,0,1,0
3029,HIMACHAL PRADESH,MANDI,2008,32,13,1,75,8,42,0
3030,HIMACHAL PRADESH,SHIMLA,2008,22,19,0,31,0,33,0
3031,HIMACHAL PRADESH,SIRMAUR,2008,10,13,0,19,0,30,0
3032,HIMACHAL PRADESH,SOLAN,2008,14,13,0,13,2,17,0
3033,HIMACHAL PRADESH,UNA,2008,11,10,0,17,4,37,0
3034,HIMACHAL PRADESH,BADDIPOLICEDIST,2009,2,1,0,5,0,9,0
3035,HIMACHAL PRADESH,BILASPUR,2009,14,5,1,28,4,21,0
3036,HIMACHAL PRADESH,CHAMBA,2009,20,15,0,29,0,14,0
3037,HIMACHAL PRADESH,CID,2009,0,0,0,0,0,0,0
3038,HIMACHAL PRADESH,G.R.P.,2009,0,0,0,0,0,0,0
3039,HIMACHAL PRADESH,HAMIRPUR,2009,9,14,0,22,5,30,0
3040,HIMACHAL PRADESH,KANGRA,2009,23,22,0,49,5,49,0
3041,HIMACHAL PRADESH,KINNAUR,2009,6,1,0,3,0,2,0
3042,HIMACHAL PRADESH,KULLU,2009,24,10,0,23,1,16,0
3043,HIMACHAL PRADESH,LAHAUL-SPITI,2009,1,0,0,0,2,2,0
3044,HIMACHAL PRADESH,MANDI,2009,22,11,0,59,5,29,0
3045,HIMACHAL PRADESH,SHIMLA,2009,28,22,0,32,5,39,0
3046,HIMACHAL PRADESH,SIRMAUR,2009,15,9,0,34,2,28,0
3047,HIMACHAL PRADESH,SOLAN,2009,8,6,0,13,2,15,0
3048,HIMACHAL PRADESH,UNA,2009,11,6,0,21,6,30,0
3049,HIMACHAL PRADESH,BADDIPOLICEDIST,2010,5,6,0,6,1,4,0
3050,HIMACHAL PRADESH,BILASPUR,2010,15,6,0,37,6,32,0
3051,HIMACHAL PRADESH,CHAMBA,2010,13,21,1,29,1,5,0
3052,HIMACHAL PRADESH,CID,2010,0,0,0,0,0,0,0
3053,HIMACHAL PRADESH,G.R.P.,2010,0,0,0,0,0,0,0
3054,HIMACHAL PRADESH,HAMIRPUR,2010,11,16,0,27,23,17,0
3055,HIMACHAL PRADESH,KANGRA,2010,22,33,0,60,8,53,0
3056,HIMACHAL PRADESH,KINNAUR,2010,2,2,0,2,0,4,0
3057,HIMACHAL PRADESH,KULLU,2010,17,5,0,23,1,9,0
3058,HIMACHAL PRADESH,LAHAUL-SPITI,2010,0,0,0,1,0,3,0
3059,HIMACHAL PRADESH,MANDI,2010,19,15,0,71,13,45,0
3060,HIMACHAL PRADESH,SHIMLA,2010,21,22,0,27,4,29,0
3061,HIMACHAL PRADESH,SIRMAUR,2010,15,12,0,36,5,17,0
3062,HIMACHAL PRADESH,SOLAN,2010,11,11,0,12,1,20,0
3063,HIMACHAL PRADESH,UNA,2010,9,13,1,19,15,37,0
3064,HIMACHAL PRADESH,BADDIPOLICEDIST,2011,8,15,0,7,0,9,0
3065,HIMACHAL PRADESH,BILASPUR,2011,8,3,0,18,9,17,0
3066,HIMACHAL PRADESH,CHAMBA,2011,6,18,2,29,3,10,0
3067,HIMACHAL PRADESH,CID,2011,0,0,0,0,0,0,0
3068,HIMACHAL PRADESH,G.R.P.,2011,0,0,0,0,0,0,0
3069,HIMACHAL PRADESH,HAMIRPUR,2011,5,7,0,17,12,5,0
3070,HIMACHAL PRADESH,KANGRA,2011,32,55,1,60,12,42,0
3071,HIMACHAL PRADESH,KINNAUR,2011,6,1,1,4,0,1,0
3072,HIMACHAL PRADESH,KULLU,2011,20,12,0,38,2,21,0
3073,HIMACHAL PRADESH,LAHAUL-SPITI,2011,1,0,0,0,0,0,0
3074,HIMACHAL PRADESH,MANDI,2011,26,16,0,55,12,40,0
3075,HIMACHAL PRADESH,SHIMLA,2011,22,24,0,45,5,16,0
3076,HIMACHAL PRADESH,SIRMAUR,2011,12,17,0,33,1,23,0
3077,HIMACHAL PRADESH,SOLAN,2011,11,13,0,8,0,16,0
3078,HIMACHAL PRADESH,UNA,2011,11,10,0,17,6,39,0
3079,HIMACHAL PRADESH,BADDIPOLICEDIST,2012,12,8,1,7,0,16,0
3080,HIMACHAL PRADESH,BILASPUR,2012,12,5,0,21,12,22,0
3081,HIMACHAL PRADESH,CHAMBA,2012,10,14,1,9,4,7,0
3082,HIMACHAL PRADESH,CID,2012,0,0,0,0,0,0,0
3083,HIMACHAL PRADESH,G.R.P.,2012,0,0,0,0,0,0,0
3084,HIMACHAL PRADESH,HAMIRPUR,2012,8,2,0,20,5,17,0
3085,HIMACHAL PRADESH,KANGRA,2012,26,47,0,45,13,43,0
3086,HIMACHAL PRADESH,KINNAUR,2012,6,2,0,1,0,5,0
3087,HIMACHAL PRADESH,KULLU,2012,22,5,0,22,0,10,0
3088,HIMACHAL PRADESH,LAHAUL-SPITI,2012,2,0,0,1,0,0,0
3089,HIMACHAL PRADESH,MANDI,2012,28,18,0,49,17,32,0
3090,HIMACHAL PRADESH,SHIMLA,2012,23,25,0,28,7,23,0
3091,HIMACHAL PRADESH,SIRMAUR,2012,17,11,0,24,4,18,0
3092,HIMACHAL PRADESH,SOLAN,2012,9,8,0,13,1,16,0
3093,HIMACHAL PRADESH,UNA,2012,8,7,0,10,5,42,0
3094,Himachal Pradesh,BADDIPOLICEDIST,2013,6,23,0,17,1,20,0
3095,Himachal Pradesh,BILASPUR,2013,13,43,0,32,23,32,0
3096,Himachal Pradesh,CHAMBA,2013,19,13,0,31,1,7,0
3097,Himachal Pradesh,CID,2013,1,0,0,0,0,0,0
3098,Himachal Pradesh,G.R.P.,2013,0,0,0,1,0,0,0
3099,Himachal Pradesh,HAMIRPUR,2013,12,11,0,31,20,23,0
3100,Himachal Pradesh,KANGRA,2013,33,53,0,100,31,53,0
3101,Himachal Pradesh,KINNAUR,2013,6,2,0,8,0,4,0
3102,Himachal Pradesh,KULLU,2013,29,26,0,44,2,30,0
3103,Himachal Pradesh,LAHAUL-SPITI,2013,1,0,0,0,1,0,0
3104,Himachal Pradesh,MANDI,2013,31,36,0,73,14,34,0
3105,Himachal Pradesh,SHIMLA,2013,32,40,0,63,11,29,0
3106,Himachal Pradesh,SIRMAUR,2013,25,11,0,40,4,23,0
3107,Himachal Pradesh,SOLAN,2013,17,14,0,19,1,16,0
3108,Himachal Pradesh,UNA,2013,25,18,0,34,2,57,0
3109,Himachal Pradesh,Baddi,2014,9,10,0,15,1,19,0
3110,Himachal Pradesh,Bilaspur,2014,15,43,0,72,0,25,0
3111,Himachal Pradesh,Chamba,2014,23,19,0,27,1,9,0
3112,Himachal Pradesh,C. I. D.,2014,1,0,0,0,0,0,0
3113,Himachal Pradesh,G. R. P.,2014,0,0,0,0,0,0,0
3114,Himachal Pradesh,Hamirpur,2014,13,13,0,32,14,27,0
3115,Himachal Pradesh,Kangra,2014,43,26,0,79,15,46,0
3116,Himachal Pradesh,Kinnaur,2014,10,3,0,5,1,3,0
3117,Himachal Pradesh,Kullu,2014,16,4,0,35,0,21,0
3118,Himachal Pradesh,Lahaul & Spiti,2014,0,1,0,0,0,0,0
3119,Himachal Pradesh,Mandi,2014,47,33,0,101,15,50,0
3120,Himachal Pradesh,Shimla,2014,39,32,0,64,10,27,0
3121,Himachal Pradesh,Sirmaur,2014,28,15,0,46,2,24,0
3122,Himachal Pradesh,Solan,2014,16,18,0,31,0,12,0
3123,Himachal Pradesh,Una,2014,23,10,1,31,1,62,0
3124,JAMMU & KASHMIR,ANANTNAG,2001,6,36,0,53,12,0,0
3125,JAMMU & KASHMIR,AWANTIPORA,2001,1,13,0,8,2,0,0
3126,JAMMU & KASHMIR,BARAMULLA,2001,28,59,0,93,14,0,0
3127,JAMMU & KASHMIR,BORDER,2001,12,10,0,15,5,3,0
3128,JAMMU & KASHMIR,BUDGAM,2001,7,34,0,35,9,0,0
3129,JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0
3130,JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0
3131,JAMMU & KASHMIR,DODA,2001,7,15,0,6,2,1,0
3132,JAMMU & KASHMIR,GANDERBAL,2001,5,31,0,30,4,0,0
3133,JAMMU & KASHMIR,JAMMU,2001,13,43,5,40,94,26,0
3134,JAMMU & KASHMIR,KARGIL,2001,0,1,0,1,0,0,0
3135,JAMMU & KASHMIR,KATHUA,2001,13,10,3,14,4,1,0
3136,JAMMU & KASHMIR,KULGAM,2001,6,31,0,7,11,0,0
3137,JAMMU & KASHMIR,KUPWARA,2001,6,29,0,62,2,0,0
3138,JAMMU & KASHMIR,LEH,2001,0,1,0,1,0,0,0
3139,JAMMU & KASHMIR,POONCH,2001,13,10,0,4,6,2,0
3140,JAMMU & KASHMIR,PULWAMA,2001,7,33,0,19,12,0,0
3141,JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0
3142,JAMMU & KASHMIR,RAJOURI,2001,17,20,3,7,6,6,0
3143,JAMMU & KASHMIR,RAMBAN,2001,3,3,0,3,2,0,0
3144,JAMMU & KASHMIR,REASI,2001,7,9,0,5,4,0,0
3145,JAMMU & KASHMIR,SRINAGAR,2001,8,102,0,207,88,2,0
3146,JAMMU & KASHMIR,UDHAMPUR,2001,10,14,2,12,11,9,0
3147,JAMMU & KASHMIR,ANANTNAG,2002,16,58,0,67,54,0,0
3148,JAMMU & KASHMIR,AWANTIPORA,2002,1,15,0,12,3,0,0
3149,JAMMU & KASHMIR,BARAMULLA,2002,14,78,0,94,31,0,0
3150,JAMMU & KASHMIR,BORDER,2002,5,13,0,8,23,0,0
3151,JAMMU & KASHMIR,BUDGAM,2002,12,33,0,80,13,0,0
3152,JAMMU & KASHMIR,CRIME JAMMU,2002,0,0,0,0,0,0,0
3153,JAMMU & KASHMIR,CRIME SRINAGAR,2002,0,0,0,0,0,0,0
3154,JAMMU & KASHMIR,DODA,2002,15,19,0,6,4,0,0
3155,JAMMU & KASHMIR,GANDERBAL,2002,7,39,0,61,6,0,0
3156,JAMMU & KASHMIR,HANDWARA,2002,0,15,0,25,0,1,0
3157,JAMMU & KASHMIR,JAMMU,2002,7,56,10,20,74,17,0
3158,JAMMU & KASHMIR,KARGIL,2002,1,2,0,0,0,0,0
3159,JAMMU & KASHMIR,KATHUA,2002,11,13,3,11,13,4,0
3160,JAMMU & KASHMIR,KULGAM,2002,7,39,0,10,4,0,0
3161,JAMMU & KASHMIR,KUPWARA,2002,5,24,0,38,4,0,0
3162,JAMMU & KASHMIR,LEH,2002,3,1,0,1,1,0,0
3163,JAMMU & KASHMIR,POONCH,2002,9,7,0,4,0,0,0
3164,JAMMU & KASHMIR,PULWAMA,2002,12,41,0,51,15,0,0
3165,JAMMU & KASHMIR,RAILWAYS,2002,0,0,0,0,3,0,0
3166,JAMMU & KASHMIR,RAJOURI,2002,13,13,1,11,5,9,0
3167,JAMMU & KASHMIR,RAMBAN,2002,7,6,0,3,3,0,0
3168,JAMMU & KASHMIR,REASI,2002,8,11,0,3,1,2,0
3169,JAMMU & KASHMIR,SRINAGAR,2002,24,106,0,270,86,12,0
3170,JAMMU & KASHMIR,UDHAMPUR,2002,15,7,4,10,25,9,0
3171,JAMMU & KASHMIR,ANANTNAG,2003,9,74,0,63,45,0,0
3172,JAMMU & KASHMIR,AWANTIPORA,2003,2,13,0,21,4,0,0
3173,JAMMU & KASHMIR,BARAMULLA,2003,18,74,0,159,23,1,0
3174,JAMMU & KASHMIR,BORDER,2003,9,6,0,8,11,7,0
3175,JAMMU & KASHMIR,BUDGAM,2003,11,40,0,69,12,1,0
3176,JAMMU & KASHMIR,CRIME JAMMU,2003,0,0,0,0,0,0,0
3177,JAMMU & KASHMIR,CRIME SRINAGAR,2003,0,0,0,0,0,0,0
3178,JAMMU & KASHMIR,DODA,2003,6,19,0,8,4,3,0
3179,JAMMU & KASHMIR,GANDERBAL,2003,8,45,0,82,6,1,0
3180,JAMMU & KASHMIR,HANDWARA,2003,2,17,0,24,4,1,0
3181,JAMMU & KASHMIR,JAMMU,2003,20,50,3,12,66,21,0
3182,JAMMU & KASHMIR,KARGIL,2003,1,6,0,0,0,0,0
3183,JAMMU & KASHMIR,KATHUA,2003,13,20,0,8,9,7,0
3184,JAMMU & KASHMIR,KULGAM,2003,5,45,0,23,15,0,0
3185,JAMMU & KASHMIR,KUPWARA,2003,5,27,0,68,4,0,0
3186,JAMMU & KASHMIR,LEH,2003,3,1,0,2,0,0,0
3187,JAMMU & KASHMIR,POONCH,2003,12,11,0,11,3,1,0
3188,JAMMU & KASHMIR,PULWAMA,2003,10,43,2,38,8,0,0
3189,JAMMU & KASHMIR,RAILWAYS,2003,1,0,0,1,0,0,0
3190,JAMMU & KASHMIR,RAJOURI,2003,28,19,2,8,7,14,0
3191,JAMMU & KASHMIR,RAMBAN,2003,10,5,0,8,3,0,0
3192,JAMMU & KASHMIR,REASI,2003,8,5,0,2,3,0,0
3193,JAMMU & KASHMIR,SRINAGAR,2003,23,91,0,249,130,6,0
3194,JAMMU & KASHMIR,UDHAMPUR,2003,7,4,3,11,19,8,0
3195,JAMMU & KASHMIR,ANANTNAG,2004,17,49,0,88,24,0,0
3196,JAMMU & KASHMIR,AWANTIPORA,2004,8,10,0,23,2,0,0
3197,JAMMU & KASHMIR,BARAMULLA,2004,15,74,1,167,36,0,0
3198,JAMMU & KASHMIR,BORDER,2004,4,10,0,10,7,2,0
3199,JAMMU & KASHMIR,BUDGAM,2004,6,54,0,87,14,0,0
3200,JAMMU & KASHMIR,CRIME JAMMU,2004,0,0,0,0,0,0,0
3201,JAMMU & KASHMIR,CRIME SRINAGAR,2004,0,0,0,0,0,0,0
3202,JAMMU & KASHMIR,DODA,2004,4,20,0,13,3,1,0
3203,JAMMU & KASHMIR,GANDERBAL,2004,12,29,0,80,7,0,0
3204,JAMMU & KASHMIR,HANDWARA,2004,7,30,0,43,4,0,0
3205,JAMMU & KASHMIR,JAMMU,2004,19,54,5,24,65,38,0
3206,JAMMU & KASHMIR,KARGIL,2004,1,1,0,1,0,0,0
3207,JAMMU & KASHMIR,KATHUA,2004,10,15,0,11,7,6,0
3208,JAMMU & KASHMIR,KULGAM,2004,11,37,0,23,3,0,0
3209,JAMMU & KASHMIR,KUPWARA,2004,20,40,0,61,7,0,0
3210,JAMMU & KASHMIR,LEH,2004,3,4,0,3,0,1,0
3211,JAMMU & KASHMIR,POONCH,2004,11,18,0,7,3,2,0
3212,JAMMU & KASHMIR,PULWAMA,2004,0,39,1,35,4,1,0
3213,JAMMU & KASHMIR,RAILWAYS,2004,1,0,0,0,0,0,0
3214,JAMMU & KASHMIR,RAJOURI,2004,22,27,2,23,2,7,0
3215,JAMMU & KASHMIR,RAMBAN,2004,7,12,0,8,1,0,0
3216,JAMMU & KASHMIR,REASI,2004,5,9,0,5,7,4,0
3217,JAMMU & KASHMIR,SRINAGAR,2004,24,92,0,261,55,16,0
3218,JAMMU & KASHMIR,UDHAMPUR,2004,11,8,0,17,13,4,0
3219,JAMMU & KASHMIR,ANANTNAG,2005,9,78,0,63,35,1,0
3220,JAMMU & KASHMIR,AWANTIPORA,2005,7,9,0,25,3,0,0
3221,JAMMU & KASHMIR,BARAMULLA,2005,16,97,0,166,36,0,0
3222,JAMMU & KASHMIR,BORDER,2005,5,8,0,7,5,0,0
3223,JAMMU & KASHMIR,BUDGAM,2005,6,55,0,75,17,0,0
3224,JAMMU & KASHMIR,CRIME JAMMU,2005,0,0,0,0,0,0,0
3225,JAMMU & KASHMIR,CRIME SRINAGAR,2005,0,0,0,0,0,0,0
3226,JAMMU & KASHMIR,DODA,2005,7,14,0,6,2,1,0
3227,JAMMU & KASHMIR,GANDERBAL,2005,5,38,0,42,4,0,0
3228,JAMMU & KASHMIR,HANDWARA,2005,10,27,0,44,3,1,0
3229,JAMMU & KASHMIR,JAMMU,2005,20,40,4,22,36,28,0
3230,JAMMU & KASHMIR,KARGIL,2005,1,2,0,3,0,0,0
3231,JAMMU & KASHMIR,KATHUA,2005,12,12,0,7,8,4,0
3232,JAMMU & KASHMIR,KULGAM,2005,12,35,0,22,3,1,0
3233,JAMMU & KASHMIR,KUPWARA,2005,11,33,0,40,5,0,0
3234,JAMMU & KASHMIR,LEH,2005,5,3,0,4,0,0,0
3235,JAMMU & KASHMIR,POONCH,2005,7,14,0,11,1,7,0
3236,JAMMU & KASHMIR,PULWAMA,2005,7,36,0,40,4,0,0
3237,JAMMU & KASHMIR,RAILWAYS,2005,0,1,0,0,0,0,0
3238,JAMMU & KASHMIR,RAJOURI,2005,21,23,0,15,7,14,0
3239,JAMMU & KASHMIR,RAMBAN,2005,6,10,0,4,1,4,0
3240,JAMMU & KASHMIR,REASI,2005,1,11,0,2,3,1,0
3241,JAMMU & KASHMIR,SRINAGAR,2005,18,103,0,219,181,11,0
3242,JAMMU & KASHMIR,UDHAMPUR,2005,15,9,1,13,17,3,0
3243,JAMMU & KASHMIR,ANANTNAG,2006,22,81,0,34,60,0,0
3244,JAMMU & KASHMIR,AWANTIPORA,2006,9,12,0,25,3,0,0
3245,JAMMU & KASHMIR,BARAMULLA,2006,15,101,0,153,21,1,0
3246,JAMMU & KASHMIR,BORDER DISTRICT,2006,6,8,1,3,7,4,0
3247,JAMMU & KASHMIR,BUDGAM,2006,5,53,0,121,14,1,0
3248,JAMMU & KASHMIR,CRIME JAMMU,2006,0,0,0,0,0,0,0
3249,JAMMU & KASHMIR,CRIME SRINAGAR,2006,0,0,0,0,0,0,0
3250,JAMMU & KASHMIR,DODA,2006,10,31,0,16,7,8,0
3251,JAMMU & KASHMIR,GANDERBAL,2006,4,34,0,36,5,0,0
3252,JAMMU & KASHMIR,HANDWARA,2006,8,23,0,73,6,2,0
3253,JAMMU & KASHMIR,JAMMU,2006,21,52,3,28,59,41,0
3254,JAMMU & KASHMIR,KARGIL,2006,0,4,0,2,0,1,0
3255,JAMMU & KASHMIR,KATHUA,2006,12,26,3,17,7,12,0
3256,JAMMU & KASHMIR,KULGAM,2006,14,46,0,44,11,1,0
3257,JAMMU & KASHMIR,KUPWARA,2006,11,27,0,77,11,2,0
3258,JAMMU & KASHMIR,LEH,2006,3,5,0,5,0,0,0
3259,JAMMU & KASHMIR,POONCH,2006,21,20,0,13,3,12,0
